y_true,y_pred,no toxic,toxic
1,1.0,0.00982,0.99018
1,1.0,0.01868,0.98132
1,1.0,0.05559,0.94441
1,1.0,0.0218,0.9782
1,1.0,0.06217,0.93783
1,1.0,0.02842,0.97158
0,1.0,0.4972,0.5028
1,1.0,0.00697,0.99303
1,1.0,0.00441,0.99559
1,1.0,0.05427,0.94573
1,1.0,0.00537,0.99463
1,1.0,0.04544,0.95456
0,0.0,0.99136,0.00864
1,1.0,0.03339,0.96661
1,1.0,0.01706,0.98294
1,1.0,0.03124,0.96876
1,1.0,0.03027,0.96973
0,0.0,0.99259,0.00741
1,1.0,0.01394,0.98606
1,1.0,0.03517,0.96483
1,1.0,0.06759,0.93241
1,1.0,0.02509,0.97491
1,1.0,0.00558,0.99442
1,0.0,0.99756,0.00244
1,1.0,0.05755,0.94245
1,1.0,0.01944,0.98056
1,1.0,0.02733,0.97267
1,1.0,0.02849,0.97151
0,0.0,0.99807,0.00193
1,1.0,0.03123,0.96877
1,1.0,0.00389,0.99611
1,1.0,0.03334,0.96666
1,1.0,0.04197,0.95803
1,1.0,0.03842,0.96158
1,1.0,0.04597,0.95403
0,1.0,0.37398,0.62602
0,1.0,0.49177,0.50823
0,0.0,0.96219,0.03781
1,1.0,0.00445,0.99555
1,1.0,0.03757,0.96243
0,0.0,0.96316,0.03684
1,1.0,0.00797,0.99203
1,1.0,0.04439,0.95561
1,1.0,0.02634,0.97366
1,1.0,0.04067,0.95933
1,1.0,0.0058,0.9942
1,1.0,0.07416,0.92584
0,0.0,0.92495,0.07505
1,1.0,0.20109,0.79891
0,0.0,0.99674,0.00326
1,1.0,0.02053,0.97947
1,1.0,0.00686,0.99314
1,1.0,0.02402,0.97598
1,1.0,0.04303,0.95697
1,1.0,0.00495,0.99505
0,0.0,0.95309,0.04691
1,1.0,0.01981,0.98019
1,0.0,0.73135,0.26865
1,1.0,0.04446,0.95554
1,1.0,0.00609,0.99391
1,1.0,0.08454,0.91546
1,1.0,0.04372,0.95628
1,1.0,0.11099,0.88901
1,1.0,0.00496,0.99504
1,0.0,0.99622,0.00378
1,0.0,0.86844,0.13156
0,0.0,0.92352,0.07648
1,1.0,0.06353,0.93647
0,1.0,0.16747,0.83253
1,1.0,0.06355,0.93645
0,0.0,0.99085,0.00915
1,1.0,0.00493,0.99507
1,1.0,0.03277,0.96723
1,1.0,0.01132,0.98868
1,1.0,0.03584,0.96416
1,0.0,0.98509,0.01491
1,1.0,0.011,0.989
0,0.0,0.94463,0.05537
0,0.0,0.9982,0.0018
1,1.0,0.03165,0.96835
1,1.0,0.05398,0.94602
1,1.0,0.00565,0.99435
1,1.0,0.02722,0.97278
0,0.0,0.935,0.065
1,1.0,0.00833,0.99167
0,0.0,0.99788,0.00212
1,1.0,0.01356,0.98644
1,1.0,0.04225,0.95775
1,1.0,0.07369,0.92631
0,0.0,0.99761,0.00239
1,1.0,0.0524,0.9476
1,1.0,0.01319,0.98681
1,1.0,0.00865,0.99135
1,1.0,0.01552,0.98448
0,1.0,0.13322,0.86678
0,0.0,0.99623,0.00377
1,1.0,0.00347,0.99653
1,1.0,0.00602,0.99398
0,0.0,0.99949,0.00051
0,0.0,0.99827,0.00173
1,1.0,0.01927,0.98073
1,1.0,0.00527,0.99473
1,1.0,0.08821,0.91179
1,0.0,0.93147,0.06853
0,0.0,0.90683,0.09317
1,1.0,0.01268,0.98732
1,1.0,0.02771,0.97229
1,1.0,0.00609,0.99391
1,1.0,0.01915,0.98085
0,1.0,0.0215,0.9785
0,0.0,0.64615,0.35385
1,1.0,0.01199,0.98801
1,1.0,0.13518,0.86482
0,0.0,0.57602,0.42398
1,1.0,0.00585,0.99415
1,1.0,0.00491,0.99509
1,1.0,0.01337,0.98663
1,1.0,0.00302,0.99698
1,1.0,0.00969,0.99031
