y_true,y_pred,no toxic,toxic
1,1.0,0.00525,0.99475
1,1.0,0.00457,0.99543
1,1.0,0.01608,0.98392
1,1.0,0.0103,0.9897
1,1.0,0.00997,0.99003
1,1.0,0.00729,0.99271
0,0.0,0.97664,0.02336
1,0.0,0.98699,0.01301
1,1.0,0.0661,0.9339
1,1.0,0.02624,0.97376
1,1.0,0.01258,0.98742
1,1.0,0.01266,0.98734
0,0.0,0.96304,0.03696
1,1.0,0.01443,0.98557
1,1.0,0.00836,0.99164
1,1.0,0.01035,0.98965
1,1.0,0.00529,0.99471
0,0.0,0.99797,0.00203
1,1.0,0.00403,0.99597
1,1.0,0.01838,0.98162
1,1.0,0.05091,0.94909
1,1.0,0.00757,0.99243
1,1.0,0.00441,0.99559
1,1.0,0.01534,0.98466
1,1.0,0.01438,0.98562
1,1.0,0.00977,0.99023
1,1.0,0.00594,0.99406
1,1.0,0.00531,0.99469
0,0.0,0.68251,0.31749
1,1.0,0.00861,0.99139
1,1.0,0.00479,0.99521
1,1.0,0.00957,0.99043
1,1.0,0.02928,0.97072
1,1.0,0.01057,0.98943
1,1.0,0.06923,0.93077
0,0.0,0.888,0.112
0,1.0,0.01045,0.98955
0,0.0,0.97603,0.02397
1,0.0,0.99485,0.00515
1,1.0,0.00529,0.99471
0,0.0,0.97684,0.02316
1,1.0,0.00528,0.99472
1,1.0,0.01028,0.98972
1,1.0,0.00925,0.99075
1,1.0,0.08372,0.91628
1,1.0,0.00525,0.99475
1,1.0,0.00984,0.99016
0,0.0,0.99817,0.00183
1,1.0,0.03141,0.96859
0,0.0,0.99807,0.00193
1,1.0,0.00599,0.99401
1,1.0,0.00456,0.99544
1,1.0,0.00787,0.99213
1,1.0,0.16129,0.83871
1,1.0,0.00445,0.99555
0,0.0,0.95926,0.04074
1,1.0,0.05768,0.94232
1,1.0,0.36793,0.63207
1,1.0,0.00619,0.99381
1,1.0,0.06879,0.93121
1,1.0,0.10611,0.89389
1,1.0,0.0082,0.9918
1,1.0,0.15803,0.84197
1,1.0,0.00573,0.99427
1,0.0,0.99743,0.00257
1,1.0,0.0643,0.9357
0,0.0,0.98818,0.01182
1,1.0,0.04904,0.95096
0,0.0,0.8982,0.1018
1,1.0,0.01523,0.98477
0,0.0,0.99745,0.00255
1,1.0,0.00453,0.99547
1,1.0,0.01843,0.98157
1,1.0,0.01841,0.98159
1,1.0,0.01373,0.98627
1,1.0,0.03553,0.96447
1,1.0,0.01258,0.98742
0,0.0,0.99467,0.00533
0,0.0,0.998,0.002
1,1.0,0.02308,0.97692
1,1.0,0.03133,0.96867
1,1.0,0.02003,0.97997
1,1.0,0.00425,0.99575
0,1.0,0.04561,0.95439
1,1.0,0.00461,0.99539
0,0.0,0.99557,0.00443
1,1.0,0.00528,0.99472
1,1.0,0.01554,0.98446
1,1.0,0.00476,0.99524
0,0.0,0.99813,0.00187
1,1.0,0.01953,0.98047
1,1.0,0.00792,0.99208
1,1.0,0.00562,0.99438
1,1.0,0.02536,0.97464
0,0.0,0.92012,0.07988
0,0.0,0.99732,0.00268
1,1.0,0.00979,0.99021
1,1.0,0.00581,0.99419
0,1.0,0.10334,0.89666
0,0.0,0.99814,0.00186
1,1.0,0.00552,0.99448
1,1.0,0.00477,0.99523
1,1.0,0.03213,0.96787
1,1.0,0.01076,0.98924
0,0.0,0.96852,0.03148
1,1.0,0.00435,0.99565
1,1.0,0.00726,0.99274
1,1.0,0.00557,0.99443
1,1.0,0.03701,0.96299
0,1.0,0.01059,0.98941
0,0.0,0.98003,0.01997
1,1.0,0.00512,0.99488
1,1.0,0.29083,0.70917
0,1.0,0.12987,0.87013
1,1.0,0.00567,0.99433
1,1.0,0.01187,0.98813
1,1.0,0.00509,0.99491
1,1.0,0.00877,0.99123
1,1.0,0.00743,0.99257
1,0.0,0.55544,0.44456
1,0.0,0.62643,0.37357
0,0.0,0.99638,0.00362
1,1.0,0.04791,0.95209
0,1.0,0.05401,0.94599
0,0.0,0.82984,0.17016
0,0.0,0.96894,0.03106
1,1.0,0.00505,0.99495
1,1.0,0.05331,0.94669
1,1.0,0.00444,0.99556
0,1.0,0.28502,0.71498
